Attendance Record Report,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Att. Time,,2026-07-01 ~ 2026-07-10,,,,,,,Tabulation,,2026-07-10,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,
09:5215:04,09:4315:00,09:4715:01,09:4514:58,,09:46,09:4515:02,09:4715:0015:00,09:4715:02,09:50,,,,,,,,,,,
ID:,,14,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5315:03,09:5014:59,09:5015:01,14:58,,09:55,09:3315:02,09:5714:58,09:4515:02,09:52,,,,,,,,,,,
ID:,,15,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:57,,,,,,,,,,,,,,,,,,,,
ID:,,16,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:57,09:37,,,,,,,,,,,,,,,,,,,
ID:,,17,,,,,,Name:,,,,,,,,,,Dept.:,,Company
10:1115:03,09:4009:4015:01,09:4014:58,09:3414:57,,09:39,09:4315:03,09:4014:59,09:4215:09,09:40,,,,,,,,,,,
ID:,,18,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,09:33,09:39,,,09:47,09:4215:08,,09:4615:05,09:47,,,,,,,,,,,
ID:,,19,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,09:52,09:5515:08,09:2815:01,,,09:4815:08,09:4115:06,,10:13,,,,,,,,,,,
ID:,,20,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,09:3712:41,09:3615:06,09:4615:02,,09:36,09:4215:09,09:3915:04,,09:51,,,,,,,,,,,
ID:,,21,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,10:00,09:5609:57,09:43,,09:44,09:41,,,,,,,,,,,,,,
ID:,,22,,,,,,Name:,,,,,,,,,,Dept.:,,Company
15:04,11:1115:00,11:1915:01,14:57,,11:17,15:03,14:59,11:2315:02,,,,,,,,,,,,
ID:,,23,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,09:3609:37,09:3615:40,09:39,,09:37,09:40,09:4709:47,09:47,09:47,,,,,,,,,,,
ID:,,24,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,09:40,09:3715:06,09:2615:02,,09:32,09:3015:12,09:2615:05,09:2715:05,,,,,,,,,,,,
ID:,,25,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,09:4515:08,09:4315:02,,09:45,09:3915:12,09:5115:04,09:5415:05,09:48,,,,,,,,,,,
ID:,,26,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,10:2315:01,09:5515:01,09:4814:57,,09:51,09:4515:02,09:5014:59,10:0315:02,09:46,,,,,,,,,,,
ID:,,27,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,10:2315:00,09:5515:00,09:3914:56,,09:51,09:4515:02,09:5014:59,10:0415:02,09:46,,,,,,,,,,,
ID:,,28,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,10:2515:02,09:3015:01,09:4214:56,,09:45,09:4815:02,09:4614:59,,,,,,,,,,,,,
ID:,,29,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,09:3515:02,,09:41,09:3815:09,09:4115:04,09:3615:09,09:35,,,,,,,,,,,
ID:,,30,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,09:4915:03,,09:53,09:4015:18,09:4515:04,09:5215:14,09:47,,,,,,,,,,,
ID:,,31,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,09:3915:02,,09:41,09:4315:08,09:4515:04,,09:41,,,,,,,,,,,
ID:,,32,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,09:3415:02,,,09:3215:09,09:2915:05,09:2415:05,09:21,,,,,,,,,,,
ID:,,33,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,,,,,09:4715:00,09:4915:08,09:38,,,,,,,,,,,
ID:,,34,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,,,,,09:4414:59,09:4515:02,09:45,,,,,,,,,,,
ID:,,35,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,,,,,08:4615:00,08:4415:04,08:59,,,,,,,,,,,
ID:,,36,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,,,,,,,,,,,,,,,,,,
ID:,,37,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,,,,,,09:3515:34,09:49,,,,,,,,,,,
ID:,,38,,,,,,Name:,,,,,,,,,,Dept.:,,Company
,,,,,,,,,09:35,,,,,,,,,,,
ID:,,39,,,,,,Name:,,,,,,,,,,Dept.:,,Company
